Ticker,Sector,Market Cap,P/E Ratio,Average Return,Volatility
CASTROLIND.NS,Energy,204560318464.0,22.776432,0.0009696121535602,0.0282477690791605
CCL.NS,Consumer Defensive,92164874240.0,33.675755,0.0016935018286673,0.0241084846866236
CDSL.NS,Financial Services,333720748032.0,62.49511,0.00350862990748,0.0306111497829181
CEATLTD.NS,Consumer Cyclical,115911786496.0,20.491634,0.0018167356421781,0.0217032156869148
CENTENKA.NS,Consumer Cyclical,14739321856.0,27.543896,0.0022035237203758,0.0342139979257824
CENTEXT.NS,Basic Materials,1901600640.0,24.040815,0.002599721135697,0.035352217128741
CENTRALBK.NS,Financial Services,484483235840.0,14.201018,-0.000461139003994,0.0275662383579752
CENTURYPLY.NS,Basic Materials,185558892544.0,67.572815,0.0022136542650026,0.0187171737204766
CENTURYTEX.NS,Basic Materials,299747835904.0,116.133934,0.003192657429743,0.0316622102210358
CERA.NS,Industrials,90937434112.0,39.83955,0.0005781889600085,0.0207916351809228
CESC.NS,Utilities,242447106048.0,17.208097,0.0023401429098005,0.0295719184961986
CGCL.NS,Financial Services,170432610304.0,53.24742,-0.000688023975989,0.0232912482691731
CGPOWER.NS,Industrials,1094780977152.0,123.49138,0.0019440776418344,0.0249345106248649
CHALET.NS,Consumer Cyclical,194686337024.0,232.30469,0.000444998435315,0.0218419976480556
CHAMBLFERT.NS,Basic Materials,193374683136.0,12.658011,0.0020246403869711,0.0347524206799472
CHEMBOND.NS,Basic Materials,7795308544.0,18.51615,0.00067156369076,0.0342884040346691
CHEMCON.NS,Basic Materials,9060603904.0,47.65896,7.19737199518452e-05,0.0197577065498649
CHEMFAB.NS,Basic Materials,14495898624.0,113.62262,0.0051231551814936,0.0323194137639216
CHENNPETRO.NS,Energy,93032153088.0,12.985866,-0.0019435152767136,0.0320040981474555
CHOLAFIN.NS,Financial Services,1059522478080.0,27.550262,0.0001893331782129,0.0203835841360045
CHOLAHLDNG.NS,Financial Services,315099185152.0,16.15529,0.0037031576324194,0.0251663233282888
CIGNITITEC.NS,Technology,38570946560.0,28.010508,0.0006129038668711,0.0078139815383111
CIPLA.NS,Healthcare,1286175850496.0,28.73692,0.001308999773469,0.0169875144381887
CLEDUCATE.NS,Consumer Defensive,6205074944.0,43.120296,0.0030074168189298,0.0342180594306415
COALINDIA.NS,Energy,2613305671680.0,7.24624,-0.000101659709298,0.022212147890819
COCHINSHIP.NS,Industrials,381321936896.0,44.050808,0.0017183414995577,0.0415508785760786
COFORGE.NS,Technology,530709348352.0,63.69664,0.0049386331083431,0.0205512854442356
COLPAL.NS,Consumer Defensive,780844531712.0,86.21321,0.0003309766423997,0.0150376235365002
COMPINFO.NS,Technology,244438976.0,0.6819277,-0.0033326515046395,0.0283092609699724
COMPUSOFT.NS,Consumer Defensive,2462376192.0,66.21277,6.406399332719655e-05,0.0395873807706395
CONCOR.NS,Industrials,504129880064.0,39.531773,-0.0012517275447987,0.0258595754828677
CONFIPET.NS,Energy,25303449600.0,28.601503,-0.0008680763837166,0.027412677154417
CONSOFINVT.NS,Financial Services,7097907712.0,12.018063,-0.0001921366079518,0.0230919007844582
CONTROLPR.NS,Industrials,11493431296.0,22.519587,-0.0016988894209766,0.018187794057165
CORALFINAC.NS,Real Estate,2254102016.0,10.39591,0.0034510172970497,0.0417690281715342
CORDSCABLE.NS,Industrials,2770420480.0,24.889406,0.0018988101671849,0.0361590822633069
COROMANDEL.NS,Basic Materials,515617128448.0,37.734222,0.0030948344227016,0.0179157732489073
COUNCODOS.NS,Real Estate,521454144.0,33.399998,0.001151520084671,0.0359208298628465
CREATIVE.NS,Technology,13946452992.0,28.493368,0.0026394541818715,0.0349059159969883
CREDITACC.NS,Financial Services,146808700928.0,11.049094,-0.0031818921077224,0.0208302306332102
CREST.NS,Financial Services,13837590528.0,13.424526,0.0024482501360268,0.0360767662862578
CRISIL.NS,Financial Services,401574002688.0,59.88277,0.0020873499986562,0.0171570174731901
CROMPTON.NS,Consumer Cyclical,256558891008.0,54.084126,0.0015494214812502,0.0224706537163704
CSBBANK.NS,Financial Services,52980592640.0,9.824396,-0.0008295921371998,0.0158588824765486
CTE.NS,Technology,1885808384.0,391.84,0.0007706108290652,0.0334650793459201
CUB.NS,Financial Services,132446969856.0,12.592958,0.0014796472038771,0.0220439976065529
CUBEXTUB.NS,Basic Materials,1483441664.0,34.993244,0.0001304867973535,0.0263481315220272
CUMMINSIND.NS,Industrials,1014012379136.0,52.085354,0.000815001113138,0.0245225515292457
CUPID.NS,Consumer Defensive,22587412480.0,221.28946,-0.0011935434447925,0.0222656566760579
CYBERMEDIA.NS,Communication Services,459051392.0,67.51163,0.0018245286279134,0.0380706464854142
CYBERTECH.NS,Technology,6825390080.0,23.151064,0.0033497098633732,0.0373199615495036
CYIENT.NS,Industrials,207733194752.0,31.745419,0.000725009468998,0.0196328185067983
DABUR.NS,Consumer Defensive,942158184448.0,52.62376,-0.0001665398405114,0.0157035680024352
DALBHARAT.NS,Basic Materials,331622547456.0,43.292118,0.0001687156512517,0.0174091649292199
DALMIASUG.NS,Consumer Defensive,37693456384.0,13.569343,0.0018310078339908,0.0286129596697581
DATAMATICS.NS,Technology,33292212224.0,17.825949,0.0005324861311407,0.032732807093763
DBCORP.NS,Communication Services,55661240320.0,12.471058,0.0022255276260381,0.0297806741797759
DBL.NS,Industrials,71206707200.0,22.831692,0.000714786649085,0.0300010044798356
DBREALTY.NS,Real Estate,89293651968.0,5.708434,-0.0009133317672034,0.038016645463318
DBSTOCKBRO.NS,Financial Services,1587600000.0,17.44186,-0.0019070744340175,0.0305864430332454
DCBBANK.NS,Financial Services,37503205376.0,6.631871,-0.0005847183529034,0.0181612444622447
DCM.NS,Industrials,1843494144.0,32.37037,0.0022932284520298,0.0225868494599687
DCMSHRIRAM.NS,Basic Materials,192420511744.0,37.16936,0.0020073926654137,0.0237899593655953
DCW.NS,Basic Materials,31552063488.0,254.33334,0.0063158288360082,0.0376490860354764
DECCANCE.NS,Basic Materials,8627219456.0,33.327923,0.0002423905131023,0.0198414936805163
